title,subtitle,authors,isbn,publisher,publication_year,language,page_count,description,genre,tags,shelf,purchase_date,purchase_price
"The Art of Computer Programming, Vol. 2",,Donald E. Knuth,9780201896848,Standard Publishing,1997,English,784,"Seminumerical algorithms, random numbers, and arithmetic.",Technology,technology;recommended;epic,Shelf T5,2023-01-15,18.99
"The Art of Computer Programming, Vol. 3",,Donald E. Knuth,9780201896855,Standard Publishing,1998,English,800,"Sorting and searching algorithms, trees, and hashing.",Technology,technology;recommended;epic,Shelf T2,2023-01-15,30.50
Patterns of Enterprise Application Architecture,,Martin Fowler,9780321127426,Standard Publishing,2002,English,560,Classic architectural patterns for enterprise software.,Technology,technology;recommended;epic,Shelf T6,2023-01-15,33.99
Clean Agile,,Robert C. Martin,9780135781869,Standard Publishing,2019,English,240,"Back to basics: true agility, values, and practices.",Technology,technology;recommended,Shelf T1,2023-01-15,24.00
Extreme Programming Explained,,Kent Beck,9780321278654,Standard Publishing,2004,English,224,Embrace change: core values and principles of XP.,Technology,technology;recommended,Shelf T1,2023-01-15,40.99
Test Driven Development: By Example,,Kent Beck,9780321146533,Standard Publishing,2002,English,240,Clean code that works: the red-green-refactor cycle.,Technology,technology;recommended,Shelf T4,2023-01-15,35.99
Effective Java,,Joshua Bloch,9780134685991,Standard Publishing,2017,English,416,Best practices and idioms for the Java platform.,Technology,technology;recommended;epic,Shelf T5,2023-01-15,31.00
Java Concurrency in Practice,,Brian Goetz;Tim Peierls;Joshua Bloch;Joseph Bowbeer;David Holmes;Doug Lea,9780321349606,Standard Publishing,2006,English,432,"Threads, locks, thread safety, and concurrent data structures.",Technology,technology;recommended;epic,Shelf T5,2023-01-15,27.99
Concurrency in Go,,Katherine Cox-Buday,9781491941195,Standard Publishing,2017,English,240,"Goroutines, channels, and synchronization patterns in Go.",Technology,technology;recommended,Shelf T4,2023-01-15,26.00
The Go Programming Language,,Alan A. A. Donovan;Brian W. Kernighan,9780134190440,Standard Publishing,2015,English,400,"The authoritative resource for writing clear, idiomatic Go programs.",Technology,technology;recommended,Shelf T1,2023-01-15,27.00
Programming TypeScript,,Boris Cherny,9781492037651,Standard Publishing,2019,English,324,Making your JavaScript applications scale with TypeScript's type system.,Technology,technology;recommended,Shelf T5,2023-01-15,33.00
Learning React,,Alex Banks;Eve Porcello,9781492051725,Standard Publishing,2020,English,350,"Modern patterns in React, hooks, state management, and component architecture.",Technology,technology;recommended,Shelf T3,2023-01-15,33.99
Fullstack React,,Anthony Accomazzo;Ari Lerner;David Gutman,9781987595291,Standard Publishing,2017,English,600,The complete guide to React and its ecosystem.,Technology,technology;recommended;epic,Shelf T6,2023-01-15,34.99
JavaScript: The Good Parts,,Douglas Crockford,9780596517748,Standard Publishing,2008,English,176,"Unearthing the elegant, expressive subset of JavaScript.",Technology,technology;recommended,Shelf T1,2023-01-15,10.99
Eloquent JavaScript,,Marijn Haverbeke,9781593279509,Standard Publishing,2018,English,472,"A modern introduction to programming with JavaScript, browsers, and Node.js.",Technology,technology;recommended;epic,Shelf T3,2023-01-15,45.99
Cracking the Coding Interview,,Gayle Laakmann McDowell,9780984782857,Standard Publishing,2015,English,708,189 programming questions and solutions for software engineer interviews.,Technology,technology;recommended;epic,Shelf T3,2023-01-15,16.99
System Design Interview,,Alex Xu,9781736049112,Standard Publishing,2020,English,322,An insider's guide to system design interviews for tech roles.,Technology,technology;recommended,Shelf T6,2023-01-15,36.50
System Design Interview – Volume 2,,Alex Xu;Sahn Lam,9781736049129,Standard Publishing,2022,English,448,"Advanced real-world distributed architectures: search engine, digital wallet, stock exchange.",Technology,technology;recommended;epic,Shelf T1,2023-01-15,16.99
Software Engineering at Google,,Titus Winters;Tom Manshreck;Hyrum Wright,9781492082798,Standard Publishing,2020,English,600,"Lessons learned from programming over time, scale, and trade-offs.",Technology,technology;recommended;epic,Shelf T5,2023-01-15,33.50
The Cathedral and the Bazaar,,Eric S. Raymond,9780596001087,Standard Publishing,1999,English,241,Musings on Linux and Open Source by an accidental revolutionary.,Technology,technology;recommended,Shelf T3,2023-01-15,15.99
The Mythical Man-Month,,Frederick P. Brooks Jr.,9780201835953,Standard Publishing,1995,English,322,"Essays on software engineering, team communication, and brook's law.",Technology,technology;recommended,Shelf T4,2023-01-15,40.50
Code: The Hidden Language of Computer Hardware and Software,,Charles Petzold,9780137909100,Standard Publishing,2022,English,480,A brilliant journey from flashlights and relays to modern microprocessors.,Technology,technology;recommended;epic,Shelf T2,2023-01-15,40.99
Masters of Doom,,David Kushner,9780812972153,Standard Publishing,2003,English,368,How two guys created an empire and transformed pop culture with DOOM.,Technology,technology;recommended,Shelf T3,2023-01-15,19.50
Hackers: Heroes of the Computer Revolution,,Steven Levy,9781449388393,Standard Publishing,2010,English,528,The history of the computer revolution from MIT hackers to Steve Wozniak.,Technology,technology;recommended;epic,Shelf T1,2023-01-15,41.00
The Innovators,,Walter Isaacson,9781476708690,Standard Publishing,2014,English,560,"How a group of hackers, geniuses, and geeks created the digital revolution.",History,history;recommended;epic,Shelf H1,2023-01-15,42.99
"Zero Days, Thousands of Nights",,Lillian Ablon;Martin C. Libicki;Andrea A. Golay,9780833087614,Standard Publishing,2014,English,144,The life and times of zero-day vulnerabilities in cybersecurity.,Technology,technology;recommended,Shelf T3,2023-01-15,32.00
Countdown to Zero Day,,Kim Zetter,9780770436179,Standard Publishing,2014,English,448,Stuxnet and the launch of the world's first digital cyber weapon.,Technology,technology;recommended;epic,Shelf T2,2023-01-15,23.00
Ghost in the Wires,,Kevin Mitnick;William L. Simon,9780316037709,Standard Publishing,2011,English,448,My adventures as the world's most wanted hacker.,Biography,biography;recommended;epic,Shelf B4,2023-01-15,17.50
Permanent Record,,Edward Snowden,9781250237231,Standard Publishing,2019,English,352,Edward Snowden's memoir on mass surveillance and digital privacy.,Biography,biography;recommended,Shelf B1,2023-01-15,9.00
Kite Runner (Graphic Novel),,Khaled Hosseini,9781594485466,Standard Publishing,2011,English,136,A graphic novel adaptation of the beloved classic.,Fiction,fiction;recommended,Shelf F5,2023-01-15,11.00
Persepolis,,Marjane Satrapi,9780375714573,Standard Publishing,2003,English,153,The story of a childhood in Iran during the Islamic Revolution.,Classics,classics;recommended,Shelf C6,2023-01-15,26.00
Maus,,Art Spiegelman,9780679406419,Standard Publishing,1991,English,296,A survivor's tale of the Holocaust depicted with animals.,History,history;recommended,Shelf H1,2023-01-15,21.00
Watchmen,,Alan Moore;Dave Gibbons,9781779501127,Standard Publishing,1987,English,416,The groundbreaking deconstruction of the superhero genre.,Classics,classics;recommended;epic,Shelf C1,2023-01-15,37.50
V for Vendetta,,Alan Moore;David Lloyd,9781401208417,Standard Publishing,1989,English,296,A dystopian narrative of rebellion against British fascist regime.,Classics,classics;recommended,Shelf C3,2023-01-15,17.00
The Sandman: Preludes & Nocturnes,,Neil Gaiman,9781401225759,Standard Publishing,1989,English,240,Dream of the Endless escapes seventy years of imprisonment to reclaim his realm.,Fantasy,fantasy;recommended,Shelf F4,2023-01-15,29.00
Batman: The Dark Knight Returns,,Frank Miller,9781563893421,Standard Publishing,1986,English,224,An aging Bruce Wayne comes out of retirement in a dark dystopian Gotham.,Classics,classics;recommended,Shelf C5,2023-01-15,20.99
"Saga, Vol. 1",,Brian K. Vaughan;Fiona Staples,9781607066019,Standard Publishing,2012,English,160,Alana and Marko flee extraterrestrial war to raise their newborn daughter.,Sci-Fi,sci-fi;recommended,Shelf S5,2023-01-15,9.50
